subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
D15,devprop,F02,famous,C,63,954,TRUE,s005,<undefined>,-0.31944,-0.26289,<undefined>,<undefined>,-0.25,-0.21791,<undefined>,-0.14017,<undefined>,-0.2037,0.3,-0.28284,-0.1,-0.25714
D16,devprop,F02,famous,C,78,6950,TRUE,s006,<undefined>,0.11384,0.030347,<undefined>,-0.25,<undefined>,-0.059819,<undefined>,-0.28125,<undefined>,-0.098958,-0.16667,-0.22917,-0.17693,0.19107
D17,devprop,F02,famous,C,17,2955,TRUE,s007,<undefined>,-0.14345,-0.036663,<undefined>,-0.21791,-0.059819,<undefined>,<undefined>,-0.22727,<undefined>,-0.16364,-0.063636,-0.19532,0.21818,0.022864
D18,devprop,F02,famous,C,11,2229,FALSE,s008,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D90,devprop,F02,famous,C,45,822,TRUE,s009,<undefined>,-0.20833,-0.28351,<undefined>,-0.14017,-0.28125,-0.22727,<undefined>,<undefined>,<undefined>,0.16667,-0.17475,0.35,-0.18571,-0.2
D91,devprop,F02,famous,C,123,1752,FALSE,s010,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D92,devprop,F02,famous,C,28,1530,TRUE,s011,<undefined>,0.034722,-0.10309,<undefined>,-0.2037,-0.098958,-0.16364,<undefined>,0.16667,<undefined>,<undefined>,-0.28333,0.2037,-0.15875,0.021429
D93,devprop,F02,famous,C,24,1691,TRUE,s012,<undefined>,-0.2002,-0.1701,<undefined>,0.3,-0.16667,-0.063636,<undefined>,-0.17475,<undefined>,-0.28333,<undefined>,-0.28856,-0.033053,-0.18673
D94,devprop,F02,famous,C,139,1052,TRUE,s013,<undefined>,-0.18056,-0.2757,<undefined>,-0.28284,-0.22917,-0.19532,<undefined>,0.35,<undefined>,0.2037,-0.28856,<undefined>,-0.16898,-0.17489
D95,devprop,F02,famous,C,130,1703,TRUE,s014,<undefined>,-0.24166,-0.25493,<undefined>,-0.1,-0.17693,0.21818,<undefined>,-0.18571,<undefined>,-0.15875,-0.033053,-0.16898,<undefined>,-0.20326
D96,devprop,F02,famous,C,74,3707,TRUE,s015,<undefined>,0.34722,0.22769,<undefined>,-0.25714,0.19107,0.022864,<undefined>,-0.2,<undefined>,0.021429,-0.18673,-0.17489,-0.20326,<undefined>
D06,devprop,F02,famous,D,105,3955,FALSE,s001,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D08,devprop,F02,famous,D,14,6767,TRUE,s002,<undefined>,<undefined>,-0.085076,<undefined>,0.0028595,0.013054,-0.028567,-0.22778,-0.15523,<undefined>,-0.25,-0.18889,-0.34984,-0.10556,<undefined>
D13,devprop,F02,famous,D,28,3906,TRUE,s003,<undefined>,-0.085076,<undefined>,<undefined>,-0.032895,0.12625,0.37726,-0.15132,-0.21691,<undefined>,-0.34868,-0.25,-0.15789,-0.067853,<undefined>
D14,devprop,F02,famous,D,44,1775,FALSE,s004,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D15,devprop,F02,famous,D,25,1822,TRUE,s005,<undefined>,0.0028595,-0.032895,<undefined>,<undefined>,-0.16661,-0.068493,-0.30303,-0.14522,<undefined>,-0.055407,-0.045455,-0.10606,-0.091188,<undefined>
D16,devprop,F02,famous,D,55,7073,TRUE,s006,<undefined>,0.013054,0.12625,<undefined>,-0.16661,<undefined>,0.15684,-0.11863,-0.19829,<undefined>,-0.29891,-0.23913,-0.23913,-0.025309,<undefined>
D17,devprop,F02,famous,D,39,3815,TRUE,s007,<undefined>,-0.028567,0.37726,<undefined>,-0.068493,0.15684,<undefined>,0,-0.34461,<undefined>,-0.25792,-0.17123,-0.22603,-0.04442,<undefined>
D18,devprop,F02,famous,D,157,1387,TRUE,s008,<undefined>,-0.22778,-0.15132,<undefined>,-0.30303,-0.11863,0,<undefined>,-0.13651,<undefined>,-0.024328,-0.35448,0.040214,0.22895,<undefined>
D90,devprop,F02,famous,D,46,1946,TRUE,s009,<undefined>,-0.15523,-0.21691,<undefined>,-0.14522,-0.19829,-0.34461,-0.13651,<undefined>,<undefined>,-0.125,-0.21269,-0.085307,0.053482,<undefined>
D91,devprop,F02,famous,D,126,2266,FALSE,s010,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D92,devprop,F02,famous,D,110,932,TRUE,s011,<undefined>,-0.25,-0.34868,<undefined>,-0.055407,-0.29891,-0.25792,-0.024328,-0.125,<undefined>,<undefined>,-0.27206,-0.15237,-0.072524,<undefined>
D93,devprop,F02,famous,D,87,1738,TRUE,s012,<undefined>,-0.18889,-0.25,<undefined>,-0.045455,-0.23913,-0.17123,-0.35448,-0.21269,<undefined>,-0.27206,<undefined>,-0.27273,-0.091566,<undefined>
