subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
S14,super,N11,novel,C,158,695,TRUE,s011,0.11364,0.69231,0.057153,0.2781,-0.1348,0.53125,0.44287,0.057153,-0.17855,-0.1261,<undefined>,0.5234,-0.28081,0.22947,-0.25413
S15,super,N11,novel,C,131,778,TRUE,s012,-0.068182,0.32089,-0.068182,0.13333,-0.046415,0.20358,0.23077,-0.068182,-0.29926,-0.25811,0.5234,<undefined>,-0.37346,0.09375,-0.2015
S17,super,N11,novel,C,3,1858,TRUE,s013,-0.33957,-0.24041,-0.14447,-0.46814,-0.0093836,-0.14734,-0.39713,-0.058753,0.019188,0.066947,-0.28081,-0.37346,<undefined>,-0.41344,0.2
S90,super,N11,novel,C,40,975,TRUE,s014,0.29935,0.19286,0.27273,0.28125,-0.29105,0.25,0.53125,0.18182,-0.2,-0.3788,0.22947,0.09375,-0.41344,<undefined>,-0.31127
S91,super,N11,novel,C,118,1137,TRUE,s015,-0.25646,-0.14886,0.19352,-0.39022,0.39474,-0.25864,-0.2451,0.19352,0.075,-0.048766,-0.25413,-0.2015,0.2,-0.31127,<undefined>
S01,super,N11,novel,D,7,1064,TRUE,s001,<undefined>,0.22654,0.42079,0.34559,0.33333,0.45238,0.21429,-0.0033842,-0.047619,-0.42379,0.42857,0.33333,-0.1362,0.19456,0.28846
S02,super,N11,novel,D,160,642,TRUE,s002,0.22654,<undefined>,0.057153,0.26608,0.095238,0.25,0.26923,-0.095238,0.23077,-0.40299,0.30769,0.44287,-0.24947,0.34069,-0.096154
S03,super,N11,novel,D,96,1308,TRUE,s003,0.42079,0.057153,<undefined>,0.45455,0.25,0.27273,0.12533,0.15909,-0.071412,-0.48373,0.25,0.38636,-0.33517,0.18182,-0.14065
S04,super,N11,novel,D,17,999,TRUE,s004,0.34559,0.26608,0.45455,<undefined>,0.16667,0.5,0.35983,0.071429,0.089308,-0.43305,0.53125,0.71875,-0.35102,0.625,-0.076923
S07,super,N11,novel,D,65,1283,TRUE,s005,0.33333,0.095238,0.25,0.16667,<undefined>,0.16667,0.071429,0.16737,0.047619,-0.4714,0.095238,0.2381,-0.11274,0.071429,0.13462
S09,super,N11,novel,D,83,823,TRUE,s006,0.45238,0.25,0.27273,0.5,0.16667,<undefined>,0.57143,-0.02381,0.13165,-0.30598,0.89286,0.67857,-0.20203,0.42857,-0.076923
S10,super,N11,novel,D,59,584,TRUE,s007,0.21429,0.26923,0.12533,0.35983,0.071429,0.57143,<undefined>,-0.02381,0.18811,-0.13532,0.65385,0.55826,-0.25254,0.5,-0.26923
S11,super,N11,novel,D,73,1006,TRUE,s008,-0.0033842,-0.095238,0.15909,0.071429,0.16737,-0.02381,-0.02381,<undefined>,0.047619,-0.0033842,0,0.14286,0.038778,-0.02381,0.023096
S12,super,N11,novel,D,152,651,TRUE,s009,-0.047619,0.23077,-0.071412,0.089308,0.047619,0.13165,0.18811,0.047619,<undefined>,-0.21427,0.18024,0.2253,-0.125,0.18811,-0.28846
S13,super,N11,novel,D,143,939,TRUE,s010,-0.42379,-0.40299,-0.48373,-0.43305,-0.4714,-0.30598,-0.13532,-0.0033842,-0.21427,<undefined>,-0.2887,-0.3541,0.17297,-0.45111,-0.32692
S14,super,N11,novel,D,108,789,TRUE,s011,0.42857,0.30769,0.25,0.53125,0.095238,0.89286,0.65385,0,0.18024,-0.2887,<undefined>,0.76923,-0.1903,0.5,-0.13462
S15,super,N11,novel,D,110,838,TRUE,s012,0.33333,0.44287,0.38636,0.71875,0.2381,0.67857,0.55826,0.14286,0.2253,-0.3541,0.76923,<undefined>,-0.29744,0.65385,-0.25
S17,super,N11,novel,D,33,1620,TRUE,s013,-0.1362,-0.24947,-0.33517,-0.35102,-0.11274,-0.20203,-0.25254,0.038778,-0.125,0.17297,-0.1903,-0.29744,<undefined>,-0.38673,-0.014793
S90,super,N11,novel,D,109,759,TRUE,s014,0.19456,0.34069,0.18182,0.625,0.071429,0.42857,0.5,-0.02381,0.18811,-0.45111,0.5,0.65385,-0.38673,<undefined>,-0.15385
S91,super,N11,novel,D,39,1443,TRUE,s015,0.28846,-0.096154,-0.14065,-0.076923,0.13462,-0.076923,-0.26923,0.023096,-0.28846,-0.32692,-0.13462,-0.25,-0.014793,-0.15385,<undefined>
S01,super,N12,novel,A,133,1202,TRUE,s001,<undefined>,0.10345,0.29373,0.22343,-0.35314,-0.02,0.16343,0.54,-0.11657,-0.28283,0.04,0,0.24343,0.26,-0.31882
S02,super,N12,novel,A,36,1564,TRUE,s002,0.10345,<undefined>,0.34483,0.41134,-0.11773,-0.086207,0.029074,0.29657,-0.025608,-0.12121,0.068966,-0.068966,0.051724,0.15517,-0.059584
S03,super,N12,novel,A,103,1177,TRUE,s003,0.29373,0.34483,<undefined>,0.52,-0.21358,0.071429,0.23063,0.53832,-0.18161,-0.23232,0.083684,0.095238,0.24218,0.45238,0.040851
S04,super,N12,novel,A,100,1386,TRUE,s004,0.22343,0.41134,0.52,<undefined>,-0.033137,-0.02,0.28343,0.36745,0.050294,-0.1759,0.10343,0,0.14,0.26,0.067452
S07,super,N12,novel,A,82,734,TRUE,s005,-0.35314,-0.11773,-0.21358,-0.033137,<undefined>,-0.011204,-0.27241,-0.40842,0.23693,-0.37374,-0.018665,0.026396,-0.10635,-0.35609,0.10337
S09,super,N12,novel,A,122,820,TRUE,s006,-0.02,-0.086207,0.071429,-0.02,-0.011204,<undefined>,0.35714,0.045455,-0.16019,-0.34848,-0.10714,0.82143,-0.02696,0.21429,0.039504
S10,super,N12,novel,A,41,680,TRUE,s007,0.16343,0.029074,0.23063,0.28343,-0.27241,0.35714,<undefined>,0.19742,0.17962,-0.29798,0.25,0.39286,0.11111,0.51226,-0.1857
S11,super,N12,novel,A,6,1083,TRUE,s008,0.54,0.29657,0.53832,0.36745,-0.40842,0.045455,0.19742,<undefined>,-0.19608,-0.29798,0.057153,0.068182,0.034425,0.36364,-0.24086
S12,super,N12,novel,A,94,593,TRUE,s009,-0.11657,-0.025608,-0.18161,0.050294,0.23693,-0.16019,0.17962,-0.19608,<undefined>,-0.31818,0.25057,-0.10219,0,-0.022408,-0.1126
S13,super,N12,novel,A,22,4926,TRUE,s010,-0.28283,-0.12121,-0.23232,-0.1759,-0.37374,-0.34848,-0.29798,-0.29798,-0.31818,<undefined>,-0.32323,-0.34343,-0.33838,-0.31818,-0.25671
S14,super,N12,novel,A,40,680,TRUE,s011,0.04,0.068966,0.083684,0.10343,-0.018665,-0.10714,0.25,0.057153,0.25057,-0.32323,<undefined>,0,0.014298,0.33368,-0.20502
S15,super,N12,novel,A,44,950,TRUE,s012,0,-0.068966,0.095238,0,0.026396,0.82143,0.39286,0.068182,-0.10219,-0.34343,0,<undefined>,-0.0087141,0.32143,-0.014273
S17,super,N12,novel,A,79,1171,TRUE,s013,0.24343,0.051724,0.24218,0.14,-0.10635,-0.02696,0.11111,0.034425,0,-0.33838,0.014298,-0.0087141,<undefined>,0.065087,-0.12936
S90,super,N12,novel,A,56,938,TRUE,s014,0.26,0.15517,0.45238,0.26,-0.35609,0.21429,0.51226,0.36364,-0.022408,-0.31818,0.33368,0.32143,0.065087,<undefined>,-0.2487
S91,super,N12,novel,A,5,988,TRUE,s015,-0.31882,-0.059584,0.040851,0.067452,0.10337,0.039504,-0.1857,-0.24086,-0.1126,-0.25671,-0.20502,-0.014273,-0.12936,-0.2487,<undefined>
